Station,Date,Range,Hi,Lo
8726520,2003-06-09T04:00:00,1.532000,2.021000,0.489000
8726520,2003-06-16T04:00:00,3.353000,2.884000,-0.469000
8726520,2003-06-23T04:00:00,1.561000,2.257000,0.696000
8726520,2003-06-30T04:00:00,2.710000,2.776000,0.066000
8726520,2003-07-07T04:00:00,1.893000,2.225000,0.332000
8726520,2003-07-14T04:00:00,3.369000,3.356000,-0.013000
8726520,2003-07-21T04:00:00,1.338000,2.116000,0.778000
8726520,2003-07-28T04:00:00,2.841000,2.664000,-0.177000
8726520,2003-08-04T04:00:00,1.700000,2.261000,0.561000
8726520,2003-08-11T04:00:00,3.160000,3.432000,0.272000
8726520,2003-08-18T04:00:00,1.407000,2.336000,0.929000
8726520,2003-08-25T04:00:00,2.763000,2.812000,0.049000
8726520,2003-09-02T04:00:00,1.916000,2.559000,0.643000
8726520,2003-09-08T04:00:00,2.687000,3.107000,0.420000
8726520,2003-09-15T04:00:00,1.857000,2.546000,0.689000
8726520,2003-09-22T04:00:00,2.136000,2.684000,0.548000
8726520,2003-09-29T04:00:00,2.283000,3.005000,0.722000
8726520,2003-10-06T04:00:00,2.195000,2.454000,0.259000
8726520,2003-10-13T04:00:00,2.142000,2.907000,0.765000
8726520,2003-10-20T04:00:00,1.765000,2.175000,0.410000
8726520,2003-10-27T05:00:00,2.546000,2.756000,0.210000
8726520,2003-11-03T05:00:00,1.687000,1.969000,0.282000
8726520,2003-11-10T05:00:00,2.549000,2.625000,0.076000
8726520,2003-11-17T05:00:00,2.070000,2.628000,0.558000
8726520,2003-11-24T05:00:00,1.969000,2.064000,0.095000
8726520,2003-12-01T05:00:00,1.430000,1.171000,-0.259000
8726520,2003-12-08T05:00:00,1.854000,1.073000,-0.781000
8726520,2003-12-15T05:00:00,1.982000,2.848000,0.866000
8726520,2003-12-22T05:00:00,3.140000,2.077000,-1.063000
8726520,2003-12-29T05:00:00,1.913000,1.969000,0.056000
8726520,2004-01-05T05:00:00,2.707000,2.612000,-0.095000
8726520,2004-01-12T05:00:00,2.234000,1.283000,-0.951000
8726520,2004-01-19T05:00:00,2.516000,3.015000,0.499000
8726520,2004-01-26T05:00:00,1.959000,2.205000,0.246000
8726520,2004-02-02T05:00:00,1.880000,1.805000,-0.075000
